token,pos,lemma,aspect,tense,verbForm,voice,mood,number,person,case,gender
effecistis,v,efficio,perf,past,finite,active,ind,pl,2,,
corpus,n,corpus,,,,,,sg,,acc,n
orationis,n,oratio,,,,,,sg,,gen,f
enervaretur,v,enervaretur,imperf,past,finite,passive,coni,sg,3,,
caderet,v,cado,imperf,past,finite,active,coni,sg,3,,
nondum,adv,nondum,,,,,,,,,
iuvenes,adi,iuvenes,,,,,,pl,,nom,f
declamationibus,n,declamatio,,,,,,pl,,abl,f
continebantur,v,contineo,imperf,past,finite,passive,ind,pl,3,,
sophocles,n,sophocles,,,,,,sg,,nom,m
euripides,n,euripides,,,,,,sg,,nom,m
invenerunt,v,invenerunt,perf,past,finite,active,ind,pl,3,,
verba,n,verba,,,,,,pl,,acc,n
quibus,pron,qui,,,,,,pl,,abl,n
deberent,v,debeo,imperf,past,finite,active,coni,pl,3,,
loqui,v,loquor,imperf,praes,infinitive,passive,,,,,
nondum,adv,nondum,,,,,,,,,
umbraticus,adi,umbraticus,,,,,,sg,,nom,m
doctor,n,doctor,,,,,,sg,,nom,m
ingenia,n,ingenium,,,,,,pl,,acc,n
deleverat,v,deleverat,perf,pluperfect,finite,active,ind,sg,3,,
pindarus,n,pindarus,,,,,,sg,,nom,m
novemque,n,novemque,,,,,,sg,,abl,f
lyrici,n,lyrix,,,,,,sg,,nom,m
homericis,adi,homericus,,,,,,pl,,abl,m
versibus,n,versibus,,,,,,pl,,abl,m
canere,v,caneo,imperf,praes,infinitive,active,,,,,
timuerunt,v,timeo,perf,past,finite,active,ind,pl,3,,
poetas,n,poetas,,,,,,pl,,acc,f
quidem,adv,quidem,,,,,,,,,
ad,adp,ad,,,,,,,,,
testimonium,n,testimonium,,,,,,sg,,acc,n
citem,n,citus,,,,,,sg,,acc,m
certe,adv,certe,,,,,,,,,
platona,n,platona,,,,,,sg,,acc,f
demosthenen,n,demosthenens,,,,,,sg,,acc,m
ad,adp,ad,,,,,,,,,
hoc,pron,hic,,,,,,sg,,acc,n
genus,n,genus,,,,,,sg,,acc,n
exercitationis,n,exercitatio,,,,,,sg,,gen,f
accessisse,v,accido,perf,past,infinitive,active,,,,,
v,num,v,,,,,,,,,
ideo,adv,ideo,,,,,,,,,
grandis,adi,grandus,,,,,,sg,,nom,m
dicam,v,dico,imperf,fut,finite,active,ind,sg,1,,
pudica,adi,pudicus,,,,,,sg,,nom,f
oratio,n,oratio,,,,,,sg,,nom,f
est,aux,sum,,praes,finite,active,ind,sg,3,,
maculosa,adi,maculosus,,,,,,sg,,nom,f
turgida,adi,turgidus,,,,,,sg,,abl,f
naturali,adi,naturalis,,,,,,sg,,abl,f
pulchritudine,n,pulchritudo,,,,,,sg,,abl,f
exsurgit,v,exsurgo,imperf,praes,finite,active,ind,sg,3,,
nuper,adv,nuper,,,,,,,,,
ventosa,adi,ventosa,,,,,,sg,,nom,f
istaec,pron,iste,,,,,,sg,,abl,f
enormis,n,enorma,,,,,,sg,,gen,m
loquacitas,n,loquacitas,,,,,,sg,,nom,f
athenas,n,athenus,,,,,,sg,,gen,f
asia,n,asius,,,,,,sg,,nom,f
commigravit,v,commigro,perf,past,finite,active,ind,sg,3,,
animosque,n,animosquus,,,,,,pl,,acc,m
iuvenum,n,iuvenum,,,,,,pl,,gen,m
ad,adp,ad,,,,,,,,,
magna,adi,magnus,,,,,,pl,,acc,n
surgentes,v,surgo,imperf,praes,participle,active,,pl,,acc,m
veluti,n,veluti,,,,,,sg,,gen,n
pestilenti,adi,pestilens,,,,,,sg,,abl,n
quodam,pron,quidam,,,,,,sg,,abl,n
sidere,n,sidus,,,,,,sg,,abl,n
adflavit,v,adflo,imperf,praes,finite,active,ind,sg,3,,
semelque,pron,semelque,,,,,,sg,,abl,m
corrupta,v,corrumpo,perf,past,participle,passive,,sg,,abl,f
regula,n,regula,,,,,,sg,,abl,f
eloquentia,n,eloquentia,,,,,,sg,,abl,f
stetit,v,sisto,perf,past,finite,active,ind,sg,3,,
obmutuit,v,obmuro,imperf,praes,finite,active,ind,sg,3,,
ad,adp,ad,,,,,,,,,
summam,adi,summus,,,,,,sg,,acc,f
quis,pron,quis,,,,,,sg,,nom,m
postea,adv,postea,,,,,,,,,
thucydidis,n,thucydidus,,,,,,sg,,gen,m
quis,pron,quis,,,,,,sg,,nom,m
hyperidis,n,hyperidus,,,,,,sg,,gen,m
ad,adp,ad,,,,,,,,,
famam,n,fama,,,,,,sg,,acc,f
processit,v,procedo,perf,past,finite,active,ind,sg,3,,
carmen,n,carmen,,,,,,sg,,acc,n
quidem,adv,quidem,,,,,,,,,
sani,adi,sanus,,,,,,sg,,gen,m
coloris,n,color,,,,,,sg,,gen,m
enituit,v,enituo,perf,past,finite,active,ind,sg,3,,
omnia,pron,omnis,,,,,,pl,,acc,n
quasi,adv,quasi,,,,,,,,,
eodem,pron,idem,,,,,,sg,,abl,m
cibo,n,cibus,,,,,,sg,,abl,m
pasta,v,pasco,perf,past,participle,passive,,sg,,nom,n
potuerunt,v,possum,perf,past,finite,active,ind,pl,3,,
usque,adp,usque,,,,,,,,,
ad,adp,ad,,,,,,,,,
senectutem,n,senectus,,,,,,sg,,acc,f
canescere,v,canesco,imperf,praes,infinitive,active,,,,,
pictura,n,pictura,,,,,,sg,,nom,f
quoque,adv,quoque,,,,,,,,,
alium,pron,alius,,,,,,sg,,acc,m
exitum,n,exitus,,,,,,sg,,acc,m
fecit,v,facio,perf,past,finite,active,ind,sg,3,,
postquam,adv,postquam,,,,,,,,,
aegyptiorum,adi,aegyptius,,,,,,pl,,gen,n
audacia,n,audacium,,,,,,sg,,nom,f
magnae,adi,magnus,,,,,,sg,,gen,f
artis,n,ars,,,,,,sg,,gen,f
compendiariam,adi,compendiarius,,,,,,sg,,acc,f
invenit,v,invenio,imperf,praes,finite,active,ind,sg,3,,
rogo,v,rogo,imperf,praes,finite,active,ind,sg,2,,
inquam,v,inquam,imperf,praes,finite,active,ind,sg,2,,
mater,n,mater,,,,,,sg,,nom,f
numquid,pron,numquis,,,,,,sg,,nom,n
scis,v,scio,imperf,praes,finite,active,imperative,sg,2,,
habitem,v,habito,praes,praes,finite,active,coni,sg,1,,
delectata,v,delecto,perf,past,participle,passive,,sg,,nom,f
est,aux,sum,,praes,finite,active,ind,sg,3,,
illa,pron,ille,,,,,,sg,,abl,f
urbanitate,n,urbanitas,,,,,,sg,,abl,f
stulta,adi,stultus,,,,,,sg,,abl,f
quidni,adv,quidni,,,,,,,,,
sciam,v,scio,imperf,fut,finite,active,ind,sg,1,,
inquit,v,inquam,imperf,praes,finite,active,ind,sg,3,,
consurrexitque,v,consurgecio,perf,past,finite,active,ind,sg,3,,
coepit,v,coepi,perf,past,finite,active,ind,sg,3,,
me,pron,ego,,,,,,sg,,acc,m
praecedere,v,praecedo,imperf,praes,infinitive,active,,,,,
divinam,adi,divinus,,,,,,sg,,acc,f
putabam,v,puto,imperf,past,finite,active,ind,sg,1,,
subinde,adv,subinde,,,,,,,,,
in,adp,in,,,,,,,,,
locum,n,locus,,,,,,sg,,acc,m
secretiorem,v,secerno,imperf,praes,participle,active,,sg,,acc,m
venimus,v,venio,imperf,praes,finite,active,ind,pl,1,,
centonem,n,cento,,,,,,sg,,acc,f
anus,n,anus,,,,,,sg,,nom,f
urbana,adi,urbanus,,,,,,sg,,abl,f
reiecit,v,reiicio,perf,past,finite,active,ind,sg,3,,
inquit,v,inquam,imperf,praes,finite,active,ind,sg,3,,
debes,v,debeo,imperf,praes,finite,active,ind,sg,2,,
habitare,v,habito,imperf,praes,infinitive,active,,,,,
negarem,adi,negarus,,,,,,sg,,acc,m
me,pron,ego,,,,,,sg,,acc,m
agnoscere,v,agnosco,imperf,praes,infinitive,active,,,,,
domum,n,domus,,,,,,sg,,acc,f
v,num,v,,,,,,,,,
ideo,adv,ideo,,,,,,,,,
quosdam,pron,quidam,,,,,,pl,,acc,m
titulos,n,titulus,,,,,,pl,,acc,m
nudasque,n,nudasque,,,,,,sg,,gen,f
meretrices,n,meretrix,,,,,,pl,,acc,f
furtim,adi,furtus,,,,,,pl,,acc,f
spatiantes,v,spatio,imperf,praes,participle,active,,pl,,acc,m
tarde,adv,tarde,,,,,,,,,
immo,adv,immo,,,,,,,,,
sero,adv,sero,,,,,,,,,
intellexi,v,intellego,perf,past,finite,active,ind,sg,1,,
me,pron,ego,,,,,,sg,,acc,m
in,adp,in,,,,,,,,,
fornicem,n,fornix,,,,,,sg,,acc,f
esse,aux,sum,,praes,infinitive,active,,,,,
deductum,v,deduco,perf,past,participle,passive,,sg,,acc,m
execratus,v,exsecro,perf,past,participle,passive,,sg,,nom,m
itaque,adv,itaque,,,,,,,,,
aniculae,n,anicula,,,,,,sg,,gen,f
insidias,n,insidia,,,,,,pl,,acc,f
operui,v,operio,perf,past,finite,active,ind,sg,2,,
caput,n,caput,,,,,,sg,,acc,n
medium,adi,medius,,,,,,sg,,acc,n
lupanar,n,lupanar,,,,,,sg,,acc,f
fugere,v,fugio,imperf,praes,infinitive,active,,,,,
coepi,v,coepi,perf,past,finite,active,ind,sg,1,,
in,adp,in,,,,,,,,,
alteram,adj,alter,,,,,,sg,,acc,f
partem,n,pars,,,,,,sg,,acc,f
ecce,adv,ecce,,,,,,,,,
in,adp,in,,,,,,,,,
ipso,pron,ipse,,,,,,sg,,abl,m
aditu,n,aditus,,,,,,sg,,abl,m
occurrit,v,occurro,imperf,praes,finite,active,ind,sg,3,,
mihi,pron,ego,,,,,,sg,,dat,m
aeque,adv,aeque,,,,,,,,,
lassus,v,lascor,perf,past,participle,passive,,sg,,nom,m
moriens,v,morior,imperf,praes,participle,active,,sg,,nom,m
ascyltos,n,ascyltus,,,,,,sg,,nom,m
putares,adi,puto,,,,,,pl,,acc,m
eadem,pron,idem,,,,,,sg,,abl,f
anicula,n,aniculus,,,,,,sg,,abl,f
esse,aux,sum,,praes,infinitive,active,,,,,
deductum,v,deduco,perf,past,participle,passive,,sg,,acc,n
itaque,adv,itaque,,,,,,,,,
ridens,v,rideo,imperf,praes,participle,active,,sg,,nom,m
eum,pron,is,,,,,,sg,,acc,m
consalutavi,v,consaluto,perf,past,participle,passive,,sg,,nom,f
quid,pron,quis,,,,,,sg,,acc,n
in,adp,in,,,,,,,,,
loco,n,locus,,,,,,sg,,abl,m
deformi,adi,deformis,,,,,,sg,,abl,m
faceret,v,facio,imperf,past,finite,active,coni,sg,3,,
quaesivi,v,quaero,perf,past,finite,active,ind,sg,1,,
quasi,adv,quasi,,,,,,,,,
caliginem,n,caligo,,,,,,sg,,acc,f
vidi,v,vidi,perf,past,finite,active,ind,sg,1,,
gitona,n,gitona,,,,,,sg,,acc,f
in,adp,in,,,,,,,,,
crepidine,n,crepiden,,,,,,sg,,abl,f
semitae,n,semita,,,,,,sg,,gen,f
stantem,v,sto,imperf,praes,participle,active,,sg,,acc,m
in,adp,in,,,,,,,,,
eundem,pron,idem,,,,,,sg,,acc,m
locum,n,locus,,,,,,sg,,acc,m
me,pron,ego,,,,,,sg,,acc,m
conieci,v,coniicio,imperf,praes,finite,active,ind,sg,1,,
quaererem,v,quaero,imperf,fut,finite,active,ind,sg,1,,
numquid,pron,numquis,,,,,,sg,,nom,n
nobis,pron,nos,,,,,,pl,,dat,m
in,adp,in,,,,,,,,,
prandium,n,prandium,,,,,,sg,,acc,n
frater,n,frater,,,,,,sg,,nom,m
parasset,v,paro,perf,pluperfect,finite,active,coni,sg,3,,
consedit,v,consedo,perf,past,finite,active,ind,sg,3,,
puer,n,puer,,,,,,sg,,nom,m
lectum,n,lectus,,,,,,sg,,acc,m
manantes,v,mano,imperf,praes,participle,active,,pl,,acc,m
lacrumas,n,lacrus,,,,,,sg,,acc,f
pollice,n,pollex,,,,,,sg,,abl,m
extersit,v,exsirso,perf,past,finite,active,ind,sg,3,,
perturbatus,v,perturbo,perf,past,participle,passive,,sg,,nom,m
habitu,n,habitus,,,,,,sg,,abl,m
fratris,n,frater,,,,,,sg,,gen,m
quid,pron,quis,,,,,,sg,,acc,n
accidisset,v,accido,perf,pluperfect,finite,active,coni,sg,3,,
quaesivi,v,quaero,perf,past,finite,active,ind,sg,1,,
ille,pron,ille,,,,,,sg,,nom,m
tarde,adv,tarde,,,,,,,,,
quidem,adv,quidem,,,,,,,,,
invitus,v,invitus,perf,past,participle,passive,,sg,,nom,m
postquam,adv,postquam,,,,,,,,,
precibus,n,prex,,,,,,pl,,abl,m
iracundiam,n,iracundia,,,,,,sg,,acc,f
miscui,v,misceo,perf,past,finite,active,ind,sg,1,,
tuus,pron,tuus,,,,,,sg psor,psor,nom,m
inquit,v,inquam,imperf,praes,finite,active,ind,sg,3,,
ist,unknown_by_cltk,ist,,,,,,,,,
frater,n,frater,,,,,,sg,,nom,m
seu,coniunctio,seu,,,,,,,,,
comes,n,com,,,,,,sg,,nom,m
paulo,adi,paulus,,,,,,sg,,abl,m
in,adp,in,,,,,,,,,
conductum,n,conductus,,,,,,sg,,acc,m
accucurrit,v,accuco,perf,past,finite,active,ind,sg,3,,
coepitque,v,coepi,perf,past,finite,active,ind,sg,3,,
mihi,pron,ego,,,,,,sg,,dat,m
velle,v,velle,imperf,praes,infinitive,active,,,,,
pudorem,n,pudor,,,,,,sg,,acc,m
extorquere,v,extorqueo,imperf,praes,infinitive,active,,,,,
proclamarem,adi,proclema,,,,,,sg,,acc,m
gladium,n,gladius,,,,,,sg,,acc,m
strinxit,v,stringo,perf,past,finite,active,ind,sg,3,,
lucretia,n,lucretia,,,,,,sg,,nom,f
es,aux,sum,,praes,finite,active,ind,sg,2,,
inquit,v,inquam,imperf,praes,finite,active,ind,sg,3,,
tarquinium,n,tarquinium,,,,,,sg,,acc,m
invenisti,v,invenio,perf,past,finite,active,ind,sg,2,,
quibus,pron,qui,,,,,,pl,,abl,m
auditis,v,audio,perf,past,participle,passive,,pl,,abl,m
intentavi,v,intento,perf,praes,finite,act,ind,sg,1,,
in,adp,in,,,,,,,,,
oculos,n,oculus,,,,,,pl,,acc,m
ascylti,n,ascyltus,,,,,,sg,,dat,m
manus,n,manus,,,,,,sg,,acc,f
quid,pron,quis,,,,,,sg,,acc,n
dicis,v,dico,imperf,praes,finite,active,ind,sg,2,,
inquam,v,inquam,imperf,praes,finite,active,imperative,sg,2,,
muliebris,adi,muliebris,,,,,,sg,,gen,f
patientiae,n,patientia,,,,,,sg,,gen,f
scortum,n,scortum,,,,,,sg,,acc,n
cuius,pron,qui,,,,,,sg,,gen,m
spiritus,n,spiritus,,,,,,sg,,nom,m
purus,adi,purus,,,,,,sg,,nom,m
est,aux,sum,,praes,finite,active,ind,sg,3,,
inhorrescere,v,inhorresco,imperf,praes,infinitive,active,,,,,
se,pron,se,,,,,,sg,,acc,m
finxit,v,fingo,perf,past,finite,active,ind,sg,3,,
ascyltos,n,ascyltus,,,,,,sg,,nom,m
sublatis,v,tollo,perf,past,participle,passive,,pl,,abl,m
fortius,adv,fortiter,,,,,,,,,
manibus,n,manus,,,,,,pl,,abl,f
longe,adv,longe,,,,,,,,,
maiore,adi,magnus,,,,,,sg,,abl,m
nisu,n,nisus,,,,,,sg,,abl,m
clamavit,v,clamo,perf,past,finite,active,ind,sg,3,,
taces,v,taceo,imperf,praes,finite,active,ind,sg,2,,
inquit,v,inquam,imperf,praes,finite,active,ind,sg,3,,
gladiator,n,gladiator,,,,,,sg,,nom,m
obscene,adv,obscene,,,,,,,,,
quem,pron,qui,,,,,,sg,,acc,m
de,adp,de,,,,,,,,,
ruina,n,ruina,,,,,,sg,,abl,f
harena,n,harena,,,,,,sg,,abl,f
dimisit,v,dimitto,perf,past,finite,active,ind,sg,3,,
taces,v,taceo,imperf,praes,finite,active,ind,sg,2,,
nocturne,adv,nocturne,,,,,,,,,
percussor,n,percussor,,,,,,sg,,nom,m
qui,pron,qui,,,,,,sg,,nom,m
quidem,adv,quidem,,,,,,,,,
fortiter,adv,fortiter,,,,,,,,,
faceres,v,facio,imperf,past,finite,active,coni,sg,1,,
pura,adi,purus,,,,,,sg,,abl,f
muliere,n,mulier,,,,,,sg,,abl,f
pugnasti,v,pugno,perf,past,finite,active,ind,sg,2,,
cuius,pron,qui,,,,,,sg,,gen,m
eadem,pron,idem,,,,,,sg,,abl,f
ratione,n,ratio,,,,,,sg,,abl,f
in,adp,in,,,,,,,,,
viridario,adi,viridarium,,,,,,sg,,abl,n
frater,n,frater,,,,,,sg,,nom,m
fui,v,sum,perf,past,finite,active,ind,sg,1,,
qua,pron,qui,,,,,,sg,,abl,f
nunc,adv,nunc,,,,,,,,,
in,adp,in,,,,,,,,,
deversorio,n,deversorius,,,,,,sg,,abl,n
puer,n,puer,,,,,,sg,,nom,m
es,aux,sum,,praes,finite,active,ind,sg,2,,
subduxisti,v,subdo,perf,past,finite,active,ind,sg,2,,
te,pron,tu,,,,,,sg,,acc,m
inquam,v,inquam,imperf,praes,finite,active,ind,sg,2,,
a,adp,ab,,,,,,,,,
praeceptoris,n,praeceptor,,,,,,sg,,gen,m
colloquio,n,colloquium,,,,,,sg,,abl,n
contra,adp,contra,,,,,,,,,
ascyltos,n,ascyltus,,,,,,sg,,acc,m
leges,n,lex,,,,,,pl,,acc,f
timebat,v,timeo,imperf,past,finite,active,ind,sg,3,,
quis,pron,quis,,,,,,sg,,nom,m
aiebat,v,aio,imperf,past,finite,active,ind,sg,3,,
hoc,pron,hic,,,,,,sg,,acc,m
loco,n,locus,,,,,,sg,,abl,m
novit,v,nosco,imperf,praes,finite,active,ind,sg,3,,
quis,pron,quis,,,,,,sg,,nom,m
habebit,v,habeo,imperf,fut,finite,active,ind,sg,3,,
dicentibus,v,dico,imperf,praes,participle,active,,pl,,dat,m
fidem,n,fides,,,,,,sg,,acc,f
mihi,pron,ego,,,,,,sg,,dat,m
plane,adv,plane,,,,,,,,,
placet,v,placeo,imperf,praes,finite,active,ind,sg,3,,
emere,v,emo,imperf,praes,infinitive,active,,,,,
quamvis,adv,quamvis,,,,,,,,,
nostrum,pron,noster,,,,,,sg psor,psor,nom,n
sit,aux,sum,,praes,finite,active,coni,sg,3,,
quod,pron,qui,,,,,,sg,,acc,n
agnoscimus,v,agnosco,imperf,praes,finite,active,ind,pl,1,,
parvo,adi,parvo,,,,,,sg,,abl,m
aere,n,aer,,,,,,sg,,abl,m
recuperare,v,recipero,imperf,praes,infinitive,active,,,,,
potius,adv,potius,,,,,,,,,
thesaurum,n,thesaurus,,,,,,sg,,acc,m
quam,adv,quam,,,,,,,,,
in,adp,in,,,,,,,,,
ambiguam,adi,ambiguus,,,,,,sg,,acc,f
litem,n,lis,,,,,,sg,,acc,f
descendere,v,descendo,imperf,praes,infinitive,active,,,,,
quid,pron,quis,,,,,,sg,,acc,n
faciant,v,facio,imperf,praes,finite,active,coni,pl,3,,
leges,n,lex,,,,,,pl,,acc,f
sola,adi,solus,,,,,,sg,,abl,f
pecunia,n,pecunia,,,,,,sg,,abl,f
regnat,v,regno,imperf,praes,finite,active,ind,sg,3,,
paupertas,n,paupertas,,,,,,sg,,nom,f
vincere,v,vincere,imperf,praes,infinitive,active,,,,,
nulla,adj,nullus,,,,,,sg,,nom,f
potest,v,possum,imperf,praes,finite,active,ind,sg,3,,
ipsi,pron,ipse,,,,,,pl,,nom,m
qui,pron,qui,,,,,,pl,,nom,m
cynica,n,cynicus,,,,,,pl,,acc,n
traducunt,v,traduco,imperf,praes,finite,active,ind,pl,3,,
tempora,n,tempus,,,,,,pl,,acc,n
pera,n,pera,,,,,,sg,,gen,m
numquam,adv,numquam,,,,,,,,,
nummis,n,nummus,,,,,,pl,,abl,m
vendere,v,vendo,imperf,praes,infinitive,active,,,,,
vera,adi,vera,,,,,,pl,,acc,n
solent,v,soleo,imperf,praes,finite,active,ind,pl,3,,
iudicium,n,iudicium,,,,,,sg,,acc,n
nihil,pron,nihil,,,,,,sg,,nom,n
est,aux,sum,,praes,finite,active,ind,sg,3,,
publica,adi,publicus,,,,,,sg,,nom,f
merces,n,merces,,,,,,sg,,nom,f
eques,n,eques,,,,,,sg,,nom,m
in,adp,in,,,,,,,,,
causa,n,causa,,,,,,sg,,abl,f
qui,pron,qui,,,,,,sg,,nom,m
sedet,v,sedeo,imperf,praes,finite,active,ind,sg,3,,
empta,v,emo,perf,past,participle,passive,,pl,,acc,n
probat,v,probo,imperf,praes,finite,active,ind,sg,3,,
praeter,adp,praeter,,,,,,,,,
unum,num,unus,,,,,,sg,,acc,n
dipondium,n,dipondium,,,,,,sg,,acc,n
cicer,n,cicer,,,,,,sg,,acc,n
lupinosque,n,lupinusque,,,,,,pl,,acc,m
destinaveramus,v,destino,imperf,praes,finite,active,ind,pl,1,,
mercari,v,mercor,imperf,praes,infinitive,passive,,,,,
nihil,pron,nihil,,,,,,sg,,nom,n
ad,adp,ad,,,,,,,,,
manum,n,manus,,,,,,sg,,acc,f
erat,v,sum,imperf,past,finite,active,ind,sg,3,,
itaque,adv,itaque,,,,,,,,,
praeda,n,praeda,,,,,,sg,,nom,f
